"","zipcode","estimate_households_under_10","estimate_households_10_15","estimate_households_15_25","estimate_households_25_35","estimate_households_35_45","estimate_households_50_75","estimate_households_75_100","estimate_households_100_150","estimate_households_150_200","estimate_households_over_200","median_income"
"2","00601","41.4","15.2","15.3","10.8","10.5","5.3","0.6","0.4","0.3","0.1","13092"
"3","00602","30.6","15.9","19.2","11.0","10.1","7.9","2.6","2.1","0.6","0.0","16358"
"4","00603","32.8","13.5","16.9","11.5","10.6","8.4","2.7","2.3","0.5","0.7","16603"
"5","00606","42.3","13.3","19.6","11.9","10.3","2.8","0.0","0.0","0.0","0.0","12832"
"6","00610","24.6","16.1","20.3","11.2","13.7","10.1","1.8","1.8","0.0","0.4","19309"
"7","00612","32.6","11.2","20.0","10.9","11.6","9.2","2.8","1.3","0.3","0.1","18171"
"8","00616","34.3","12.7","18.0","12.9","10.0","8.0","1.9","1.5","0.0","0.7","16018"
"9","00617","33.7","12.1","20.0","12.2","10.1","7.1","3.8","1.0","0.0","0.0","16735"
"10","00622","34.2","15.0","15.0","14.9","8.3","7.3","1.2","0.8","2.0","1.4","15206"
"11","00623","33.4","13.0","19.3","11.7","9.2","8.3","2.7","1.7","0.5","0.0","16280"
"12","00624","28.0","14.7","19.4","14.3","12.9","7.3","1.8","1.1","0.1","0.2","17578"
"13","00627","29.3","14.9","21.7","10.9","9.5","8.8","2.4","1.9","0.2","0.4","16831"
"14","00631","51.0","18.7","8.6","5.9","6.4","7.2","2.3","0.0","0.0","0.0","9681"
"15","00637","29.3","16.4","18.7","12.8","10.6","8.0","2.4","1.5","0.1","0.2","16887"
"16","00638","35.3","15.0","20.0","9.4","12.6","5.6","1.4","0.5","0.1","0.1","14916"
"17","00641","33.1","12.5","19.9","14.6","10.2","6.4","2.2","0.8","0.2","0.1","16795"
"18","00646","20.0","8.4","17.4","10.6","12.3","14.6","6.1","5.4","2.1","3.1","29320"
"19","00647","32.7","23.3","24.8","9.0","4.0","5.3","0.9","0.0","0.0","0.0","13674"
"20","00650","26.3","14.1","24.5","10.6","12.4","8.1","3.0","0.8","0.0","0.2","19631"
"21","00652","19.2","14.2","27.5","14.0","12.6","7.4","1.0","4.0","0.0","0.0","21650"
"22","00653","42.6","14.0","19.1","10.0","8.2","5.1","0.2","0.2","0.1","0.5","12915"
"23","00656","28.8","15.8","22.3","13.3","10.3","6.8","2.0","0.5","0.0","0.2","16902"
"24","00659","28.4","15.8","18.9","10.4","9.9","10.4","2.7","2.9","0.4","0.3","17201"
"25","00660","28.9","12.3","20.9","11.4","13.2","8.9","2.0","1.8","0.1","0.6","19394"
"26","00662","30.4","14.0","19.8","12.5","12.3","6.7","2.5","1.2","0.1","0.4","17180"
"27","00664","34.2","15.4","23.1","11.9","7.3","4.8","2.5","0.9","0.0","0.0","15253"
"28","00667","39.5","15.2","16.9","11.8","9.9","4.5","1.5","0.2","0.5","0.1","13766"
"29","00669","37.6","12.9","18.4","10.4","10.5","7.9","0.7","1.3","0.1","0.2","14816"
"30","00670","38.8","14.5","15.2","10.6","12.0","6.7","1.2","0.9","0.0","0.0","13427"
"31","00674","29.3","13.2","18.2","12.1","10.1","10.6","3.0","3.0","0.3","0.1","19211"
