"","zipcode","total_population"
"2","00601","16614"
"3","00602","37240"
"4","00603","46000"
"5","00606","5812"
"6","00610","25321"
"7","00612","56988"
"8","00616","9589"
"9","00617","21565"
"10","00622","6547"
"11","00623","36690"
"12","00624","23848"
"13","00627","31476"
"14","00631","1620"
"15","00637","21914"
"16","00638","16953"
"17","00641","27433"
"18","00646","34023"
"19","00647","5303"
"20","00650","13470"
"21","00652","4050"
"22","00653","11550"
"23","00656","19191"
"24","00659","37297"
"25","00660","14571"
"26","00662","37820"
"27","00664","15114"
"28","00667","22453"
"29","00669","26275"
"30","00670","8632"
"31","00674","38720"
"32","00676","36105"
"33","00677","13067"
"34","00678","24735"
"35","00680","45286"
"36","00682","24949"
"37","00683","28214"
"38","00685","37714"
"39","00687","29557"
"40","00688","11553"
"41","00690","5465"
"42","00692","32887"
"43","00693","53732"
"44","00694","269"
"45","00698","36685"
"46","00703","25479"
"47","00704","7377"
"48","00705","22654"
"49","00707","10737"
"50","00714","17112"
"51","00715","2996"
"52","00716","28930"
"53","00717","14148"
"54","00718","23252"
"55","00719","28182"
"56","00720","20745"
"57","00723","16753"
"58","00725","76099"
"59","00727","51087"
"60","00728","36680"
"61","00729","47621"
"62","00730","30113"
"63","00731","14009"
"64","00735","11771"
"65","00736","45014"
"66","00738","29637"
"67","00739","35419"
"68","00740","1757"
"69","00741","4287"
"70","00745","48250"
"71","00751","19628"
"72","00754","35921"
"73","00757","20461"
"74","00765","7369"
"75","00766","24050"
"76","00767","33837"
"77","00769","35388"
"78","00771","33811"
"79","00772","20564"
"80","00773","17530"
"81","00775","1394"
"82","00777","35869"
"83","00778","40620"
"84","00780","12407"
"85","00782","17280"
"86","00783","32922"
"87","00784","36524"
"88","00786","319"
"89","00791","45942"
"90","00794","27102"
"91","00795","43553"
"92","00901","3919"
"93","00906","2"
"94","00907","11013"
"95","00909","4363"
"96","00911","5391"
"97","00912","4540"
"98","00913","7450"
"99","00915","25556"
"100","00917","15163"
"101","00918","12522"
"102","00920","13909"
"103","00921","30026"
"104","00923","22866"
"105","00924","46644"
"106","00925","3722"
"107","00926","92449"
"108","00927","11358"
"109","00934","271"
"110","00936","4"
"111","00949","71401"
"112","00950","7"
"113","00951","27"
"114","00952","8689"
"115","00953","66711"
"116","00956","68342"
"117","00957","40136"
"118","00959","42186"
"119","00960","0"
"120","00961","26497"
"121","00962","19446"
"122","00965","7663"
"123","00966","13682"
"124","00968","2405"
"125","00969","36391"
"126","00971","26749"
"127","00976","56404"
"128","00979","12172"
"129","00982","13834"
"130","00983","33476"
"131","00985","31528"
"132","00987","56151"
"133","01001","12174"
"134","01002","14143"
"135","01003","7"
"136","01005","4126"
"137","01007","12266"
"138","01008","1062"
"139","01009","568"
"140","01010","2983"
"141","01011","1127"
"142","01012","525"
"143","01013","17060"
"144","01020","22399"
"145","01022","1222"
"146","01026","697"
"147","01027","12989"
"148","01028","13239"
"149","01029","639"
"150","01030","10029"
"151","01031","1035"
"152","01032","438"
"153","01033","5292"
"154","01034","1717"
"155","01035","3708"
"156","01036","4421"
"157","01037","550"
"158","01038","2012"
"159","01039","973"
"160","01040","29526"
"161","01050","2072"
"162","01053","974"
"163","01054","1414"
"164","01056","16564"
"165","01057","7115"
"166","01060","7142"
"167","01062","8437"
"168","01063","2"
"169","01066","58"
"170","01068","1666"
"171","01069","6527"
"172","01070","481"
"173","01071","1374"
"174","01072","1170"
"175","01073","5006"
"176","01074","233"
"177","01075","11847"
"178","01077","7898"
"179","01079","542"
"180","01080","1804"
"181","01081","1387"
"182","01082","8071"
"183","01083","2287"
"184","01084","146"
"185","01085","31262"
"186","01086","0"
"187","01088","442"
"188","01089","21583"
"189","01092","1095"
"190","01093","250"
"191","01094","262"
"192","01095","12426"
"193","01096","1766"
"194","01097","83"
"195","01098","850"
"196","01103","1158"
"197","01104","17521"
"198","01105","8346"
"199","01106","13777"
"200","01107","9393"
"201","01108","20827"
"202","01109","22640"
"203","01118","11236"
"204","01119","10028"
"205","01128","2242"
"206","01129","5578"
"207","01151","6881"
"208","01199","0"
"209","01201","33664"
"210","01220","6439"
"211","01222","678"
"212","01223","1850"
"213","01224","146"
"214","01225","2498"
"215","01226","5555"
"216","01229","74"
"217","01230","5665"
"218","01235","2237"
"219","01236","1137"
"220","01237","1993"
"221","01238","4569"
"222","01240","3105"
"223","01242","365"
"224","01243","274"
"225","01244","124"
"226","01245","746"
"227","01247","11007"
"228","01253","595"
"229","01254","799"
"230","01255","689"
"231","01256","549"
"232","01257","1603"
"233","01258","267"
"234","01259","523"
"235","01260","184"
"236","01262","726"
"237","01264","90"
"238","01266","1148"
"239","01267","4397"
"240","01270","655"
"241","01301","12063"
"242","01330","1132"
"243","01331","10411"
"244","01337","2109"
"245","01338","150"
"246","01339","1101"
"247","01340","1310"
"248","01341","1501"
"249","01342","972"
"250","01343","67"
"251","01344","1174"
"252","01346","423"
"253","01347","115"
"254","01349","846"
"255","01350","87"
"256","01351","1689"
"257","01354","1077"
"258","01355","721"
"259","01360","2471"
"260","01364","6188"
"261","01366","1025"
"262","01367","413"
"263","01368","1005"
"264","01370","2984"
"265","01373","3614"
"266","01375","2126"
"267","01376","3577"
"268","01378","611"
"269","01379","576"
"270","01420","28998"
"271","01430","5153"
"272","01431","2691"
"273","01432","5373"
"274","01434","244"
"275","01436","2464"
"276","01438","477"
"277","01440","14586"
"278","01450","9286"
"279","01451","4317"
"280","01452","3858"
"281","01453","31930"
"282","01460","7600"
"283","01462","8615"
"284","01463","9920"
"285","01464","4770"
"286","01467","232"
"287","01468","3464"
"288","01469","5941"
"289","01473","6305"
"290","01474","1864"
"291","01475","8197"
"292","01501","13041"
"293","01503","2412"
"294","01504","7515"
"295","01505","3723"
"296","01506","2779"
"297","01507","11169"
"298","01510","10220"
"299","01515","1846"
"300","01516","7518"
"301","01518","2504"
"302","01519","5642"
"303","01520","12316"
"304","01521","2018"
"305","01522","2872"
"306","01523","5172"
"307","01524","5443"
"308","01525","234"
"309","01527","10723"
"310","01529","2799"
"311","01531","841"
"312","01532","12328"
"313","01534","4671"
"314","01535","3833"
"315","01536","5386"
"316","01537","1704"
"317","01540","9499"
"318","01541","3028"
"319","01542","1834"
"320","01543","7023"
"321","01545","30129"
"322","01550","12703"
"323","01560","3658"
"324","01561","190"
"325","01562","9335"
"326","01564","6765"
"327","01566","5388"
"328","01568","6603"
"329","01569","11542"
"330","01570","12509"
"331","01571","8831"
"332","01581","14972"
"333","01583","5359"
"334","01585","3609"
"335","01588","7900"
"336","01590","7863"
"337","01602","16993"
"338","01603","15129"
"339","01604","25553"
"340","01605","19397"
"341","01606","14347"
"342","01607","6092"
"343","01608","2239"
"344","01609","11726"
"345","01610","14101"
"346","01611","1862"
"347","01612","3912"
"348","01701","25579"
"349","01702","24685"
"350","01718","396"
"351","01719","4275"
"352","01720","18507"
"353","01721","13998"
"354","01730","10930"
"355","01731","1239"
"356","01740","4480"
"357","01741","4485"
"358","01742","13606"
"359","01745","325"
"360","01746","12048"
"361","01747","5033"
"362","01748","13463"
"363","01749","15732"
"364","01752","29577"
"365","01754","8020"
"366","01756","5271"
"367","01757","22823"
"368","01760","26468"
"369","01770","3780"
"370","01772","8458"
"371","01773","4394"
"372","01775","5888"
"373","01776","16322"
"374","01778","11620"
"375","01801","30556"
"376","01803","21006"
"377","01810","28016"
"378","01821","26381"
"379","01824","21479"
"380","01826","24917"
"381","01827","2930"
"382","01830","18541"
"383","01832","17180"
"384","01833","7271"
"385","01834","5715"
"386","01835","10975"
"387","01840","2947"
"388","01841","38913"
"389","01843","19810"
"390","01844","39496"
"391","01845","23374"
"392","01850","12027"
"393","01851","24211"
"394","01852","24304"
"395","01854","18061"
"396","01860","5378"
"397","01862","7920"
"398","01863","7105"
"399","01864","12882"
"400","01867","20791"
"401","01876","24407"
"402","01879","9907"
"403","01880","19991"
"404","01886","20141"
"405","01887","19849"
"406","01890","18834"
"407","01901","733"
"408","01902","33995"
"409","01904","15227"
"410","01905","20699"
"411","01906","22128"
"412","01907","11509"
"413","01908","2584"
"414","01913","12581"
"415","01915","28321"
"416","01921","7400"
"417","01922","2693"
"418","01923","20812"
"419","01929","2862"
"420","01930","21820"
"421","01937","0"
"422","01938","10543"
"423","01940","10750"
"424","01944","4276"
"425","01945","16467"
"426","01949","6693"
"427","01950","12975"
