"","zipcode","n"
"1","10000",4
"2","10001",22
"3","100014",1
"4","10002",12
"5","10003",29
"6","10004",5
"7","10005",2
"8","10006",3
"9","10007",3
"10","10009",1
"11","10010",7
"12","10011",15
"13","10012",14
"14","10013",9
"15","10014",9
"16","10016",6
"17","10017",2
"18","10018",3
"19","10019",22
"20","10021",3
"21","10022",2
"22","10023",9
"23","10024",10
"24","10025",14
"25","10026",5
"26","10028",4
"27","10030",4
"28","10031",9
"29","10032",3
"30","10033",2
"31","10034",6
"32","10035",8
"33","10036",23
"34","10037",36
"35","10038",6
"36","10039",2
"37","10040",10
"38","10044",1
"39","10062",2
"40","10065",3
"41","10115",2
"42","10128",1
"43","10153",3
"44","10199",2
"45","10279",9
"46","10451",3
"47","10452",9
"48","10453",3
"49","10454",5
"50","10455",3
"51","10457",4
"52","10458",3
"53","10459",11
"54","10460",4
"55","10461",12
"56","10462",7
"57","10463",3
"58","10466",4
"59","10467",6
"60","10468",11
"61","10469",4
"62","10470",7
"63","10471",1
"64","10472",5
"65","10474",2
"66","11101",32
"67","11102",2
"68","11103",3
"69","11104",3
"70","111354",2
"71","11201",17
"72","11203",6
"73","11204",9
"74","11206",7
"75","11207",49
"76","11208",18
"77","11209",10
"78","11211",11
"79","11212",6
"80","11213",6
"81","11214",4
"82","11215",11
"83","11216",4
"84","11217",7
"85","11218",3
"86","11219",2
"87","11220",5
"88","11221",6
"89","11222",2
"90","11223",12
"91","11224",9
"92","11225",8
"93","11226",7
"94","11227",12
"95","11228",2
"96","11229",3
"97","11230",4
"98","11231",4
"99","11232",3
"100","11233",5
"101","11234",1
"102","11235",11
"103","11236",2
"104","11237",2
"105","11238",10
"106","11354",2
"107","11368",4
"108","11372",3
"109","11373",13
"110","11374",6
"111","11375",9
"112","11377",9
"113","11385",8
"114","11414",2
"115","11415",4
"116","11417",3
"117","11418",5
"118","11419",10
"119","11420",2
"120","11421",3
"121","11427",4
"122","11435",4
"123","11451",3
"124","11691",2
"125","11692",3
"126","11693",4
"127","11694",6
"128","12692",1
"129",NA,3
